Iteration,Basic-Block,gen[B],kill[B],in[B],out[B]
0,B0,"['D1', 'D2', 'D3']","['D4', 'D5']",[],[]
0,B1,[],[],[],[]
0,B2,['D4'],['D3'],[],[]
0,B3,[],[],[],[]
0,B4,['D5'],['D2'],[],[]
0,B5,[],[],[],[]
0,B6,[],[],[],[]
0,B7,[],[],[],[]
0,B8,['D6'],[],[],[]
0,B9,[],[],[],[]
1,B0,"['D1', 'D2', 'D3']","['D4', 'D5']",[],"['D1', 'D2', 'D3']"
1,B1,[],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3']"
1,B2,['D4'],['D3'],"['D1', 'D2', 'D3']","['D1', 'D2', 'D4']"
1,B3,[],[],"['D1', 'D2', 'D4']","['D1', 'D2', 'D4']"
1,B4,['D5'],['D2'],"['D1', 'D2', 'D4']","['D1', 'D4', 'D5']"
1,B5,[],[],"['D1', 'D2', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
1,B6,[],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3']"
1,B7,[],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3']"
1,B8,['D6'],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3', 'D6']"
1,B9,[],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3']"
2,B0,"['D1', 'D2', 'D3']","['D4', 'D5']",[],"['D1', 'D2', 'D3']"
2,B1,[],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3']"
2,B2,['D4'],['D3'],"['D1', 'D2', 'D3']","['D1', 'D2', 'D4']"
2,B3,[],[],"['D1', 'D2', 'D4']","['D1', 'D2', 'D4']"
2,B4,['D5'],['D2'],"['D1', 'D2', 'D4']","['D1', 'D4', 'D5']"
2,B5,[],[],"['D1', 'D2', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
2,B6,[],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3']"
2,B7,[],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3']"
2,B8,['D6'],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3', 'D6']"
2,B9,[],[],"['D1', 'D2', 'D3']","['D1', 'D2', 'D3']"
3,B0,"['D1', 'D2', 'D3']","['D4', 'D5']",[],"['D1', 'D2', 'D3']"
3,B1,[],[],"['D1', 'D2', 'D3', 'D4', 'D5']","['D1', 'D2', 'D3', 'D4', 'D5']"
3,B2,['D4'],['D3'],"['D1', 'D2', 'D3', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
3,B3,[],[],"['D1', 'D2', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
3,B4,['D5'],['D2'],"['D1', 'D2', 'D4', 'D5']","['D1', 'D4', 'D5']"
3,B5,[],[],"['D1', 'D2', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
3,B6,[],[],"['D1', 'D2', 'D3', 'D4', 'D5']","['D1', 'D2', 'D3', 'D4', 'D5']"
3,B7,[],[],"['D1', 'D2', 'D3', 'D4', 'D5', 'D6']","['D1', 'D2', 'D3', 'D4', 'D5', 'D6']"
3,B8,['D6'],[],"['D1', 'D2', 'D3', 'D4', 'D5', 'D6']","['D1', 'D2', 'D3', 'D4', 'D5', 'D6']"
3,B9,[],[],"['D1', 'D2', 'D3', 'D4', 'D5', 'D6']","['D1', 'D2', 'D3', 'D4', 'D5', 'D6']"
4,B0,"['D1', 'D2', 'D3']","['D4', 'D5']",[],"['D1', 'D2', 'D3']"
4,B1,[],[],"['D1', 'D2', 'D3', 'D4', 'D5']","['D1', 'D2', 'D3', 'D4', 'D5']"
4,B2,['D4'],['D3'],"['D1', 'D2', 'D3', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
4,B3,[],[],"['D1', 'D2', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
4,B4,['D5'],['D2'],"['D1', 'D2', 'D4', 'D5']","['D1', 'D4', 'D5']"
4,B5,[],[],"['D1', 'D2', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
4,B6,[],[],"['D1', 'D2', 'D3', 'D4', 'D5']","['D1', 'D2', 'D3', 'D4', 'D5']"
4,B7,[],[],"['D1', 'D2', 'D3', 'D4', 'D5', 'D6']","['D1', 'D2', 'D3', 'D4', 'D5', 'D6']"
4,B8,['D6'],[],"['D1', 'D2', 'D3', 'D4', 'D5', 'D6']","['D1', 'D2', 'D3', 'D4', 'D5', 'D6']"
4,B9,[],[],"['D1', 'D2', 'D3', 'D4', 'D5', 'D6']","['D1', 'D2', 'D3', 'D4', 'D5', 'D6']"
5,B0,"['D1', 'D2', 'D3']","['D4', 'D5']",[],"['D1', 'D2', 'D3']"
5,B1,[],[],"['D1', 'D2', 'D3', 'D4', 'D5']","['D1', 'D2', 'D3', 'D4', 'D5']"
5,B2,['D4'],['D3'],"['D1', 'D2', 'D3', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
5,B3,[],[],"['D1', 'D2', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
5,B4,['D5'],['D2'],"['D1', 'D2', 'D4', 'D5']","['D1', 'D4', 'D5']"
5,B5,[],[],"['D1', 'D2', 'D4', 'D5']","['D1', 'D2', 'D4', 'D5']"
5,B6,[],[],"['D1', 'D2', 'D3', 'D4', 'D5']","['D1', 'D2', 'D3', 'D4', 'D5']"
5,B7,[],[],"['D1', 'D2', 'D3', 'D4', 'D5', 'D6']","['D1', 'D2', 'D3', 'D4', 'D5', 'D6']"
5,B8,['D6'],[],"['D1', 'D2', 'D3', 'D4', 'D5', 'D6']","['D1', 'D2', 'D3', 'D4', 'D5', 'D6']"
5,B9,[],[],"['D1', 'D2', 'D3', 'D4', 'D5', 'D6']","['D1', 'D2', 'D3', 'D4', 'D5', 'D6']"
